"item_code","item_label_en","item_description_en"
"-1","Keine Angabe",
"411","Fagus sylvatica L.",
"561","Carpinus betulus L.",
"441","Acer pseudoplatanus L.",
"440","Acer L.",
"442","Acer platanoides L.",
"443","Acer campestre L.",
"471","Betula pendula Roth",
"121","Abies alba Mill.",
"101","Picea abies (L.) H. Karst.",
"530","Salix L.",
"534","Salix caprea L.",
"531","Salix viminalis L.",
"540","Salix purpurea L.",
"521","Prunus avium (L.) L.",
"551","Sorbus aria (L.) Crantz",
"552","Sorbus aucuparia L.",
"422","Quercus petraea (Matt.) Liebl.",
"420","Quercus L.",
"421","Quercus robur L.",
"510","Ulmus L.",
"511","Ulmus glabra Huds.",
"512","Ulmus minor Mill.",
"513","Ulmus laevis Pall.",
"901","Corylus avellana L.",
"905","Sambucus nigra L.",
"906","Sambucus racemosa L.",
"100","Picea sp.",
"102","Picea omorika (Panc.) Purk.",
"103","Picea pungens Engelm.",
"104","Picea sitchensis (Bong.) Carriere",
"105","Picea mariana (Mill.) Britton, Sterns et Poggenb.",
"107","Picea glehni (F. Schmidt) Mast.",
"120","Abies Mill.",
"122","Abies amabilis (Douglas ex Loudon) Douglas ex Forbes",
"123","Abies balsamea (L.) Mill.",
"124","Abies concolor (Gordon et Glend.) Lindl. ex Hildebr.",
"125","Abies concolor Lowiana Grp.",
"126","Abies firma Siebold et Zucc.",
"127","Abies grandis (Dougl. ex D.Don) Lindl.",
"128","Abies homolepis Siebold et Zucc.",
"129","Abies nordmanniana (Steven) Spach",
"130","Abies procera Rehder",
"131","Abies sachalinensis (F. Schmidt) Mast.",
"132","Abies veitchii Lindl.",
"140","Pinus L.",
"141","Pinus sylvestris L.",
"142","Pinus mugo Turra ssp. mugo",
"143","Pinus mugo Turra ssp. pumilio (Haenke) Franco",
"144","Pinus cembra L.",
"145","Pinus nigra Arnold",
"146","Pinus peuce Griseb.",
"147","Pinus strobus L.",
"148","Pinus contorta Douglas ex Loudon",
"149","Pinus ponderosa Dougl. ex P. et C. Lawson",
"150","Pinus resinosa Aiton",
"151","Pinus rigida Mill.",
"152","Pinus wallachiana A. B. Jacks.",
"153","Pinus banksiana Lamb.",
"160","Larix Mill.",
"161","Larix decidua Mill.",
"162","Larix kaempferi (Lamb.) Carriere",
"163","Larix laricina (Du Roi) K. Koch",
"164","Larix x eurolepis Henry",
"181","Pseudotsuga menziesii (Mirb.) Franco",
"191","Juniperus communis L.",
"201","Taxus baccata L.",
"211","Calocedrus decurrens (Torr.) Florin",
"221","Cedrus deodara (Roxb.) G. Don",
"231","Chamaecyparis Spach.",
"241","Cryptomeria japonica D. Don.",
"251","Metasequoia glyptostroboides Hu et W.C. Cheng",
"252","Sequoiadendron giganteum (Lindl.) Buchholz",
"253","Sequoia sempervirens (D. Don) Endl.",
"261","Thuja plicata Donn ex D. Don",
"271","Tsuga heterophylla (Raf.) Sarg.",
"390","ubriges Nadelholz",
"410","Fagus L.",
"412","Fagus orientalis Lipsky",
"423","Quercus pubescens Willd.",
"424","Quercus cerris L.",
"425","Quercus rubra L.",
"426","Quercus castaneifolia C.A. Mey.",
"427","Quercus palustris Munchh.",
"430","Fraxinus L.",
"431","Fraxinus excelsior L.",
"432","Fraxinus ornus L.",
"433","Fraxinus americana L.",
"444","Acer opalus Mill.",
"446","Acer monspessulanum L.",
"450","Populus L.",
"451","Populus alba L.",
"452","Populus x canescens (Aiton) Sm",
"453","Populus nigra L.",
"454","Populus tremula L.",
"455","Populus balsamifera L.",
"456","Populus x canadensis Moench",
"460","Castanea Mill.",
"461","Castanea sativa Mill.",
"462","Castanea crenata Sieb. et Zucc.",
"463","Castanea mollissima Blume",
"468","Castanea Mill. X",
"470","Betula L.",
"472","Betula pubescens Ehrh.",
"473","Betula humilis Schrank",
"474","Betula nana L.",
"476","Betula platyphylla var. Japonica (Miq.) Hara",
"481","Juglans regia L.",
"482","Juglans nigra L.",
"490","Alnus Mill.",
"491","Alnus glutinosa (L.) Gaertn.",
"492","Alnus incana (L.) Moench",
"493","Alnus viridis (Chaix) DC",
"500","Tilia L.",
"501","Tilia cordata Mill.",
"502","Tilia platyphyllos Scop.",
"520","Prunus L.",
"522","Prunus padus L.",
"523","Prunus spinosa L.",
"524","Prunus cerasus L.",
"525","Prunus mahaleb L.",
"526","Prunus serotina Ehrh.",
"532","Salix alba L.",
"533","Salix triandra L. ssp. triandra (Salix amygdalina)",
"535","Salix cinerea L.",
"536","Salix daphnoides Vill.",
"537","Salix elaeagnos Scop.",
"538","Salix fragilis L.",
"539","Salix pentandra L.",
"550","Sorbus L.",
"553","Sorbus domestica L.",
"554","Sorbus torminalis (L.) Crantz",
"555","Sorbus chamaemespilus (L.) Crantz",
"556","Sorbus x hybrida L.",
"557","Sorbus latifolia",
"558","Sorbus mougeotii",
"571","Celtis australis L.",
"581","Ostrya carpinifolia Scop.",
"591","Ilex aquifolium L.",
"601","Laburnum anagyroides Medik.",
"602","Laburnum alpinum (Mill.) Brecht. et J. Presl",
"611","Malus sylvestris (L.) Mill.",
"621","Pyrus pyraster Burgsd.",
"631","Mespilus germanica L.",
"701","Robinia pseudoacacia L.",
"711","Carya ovata (Mill.) K. Koch",
"721","Platanus x hispanica Munchh.",
"731","Aesculus hippocastanum L.",
"741","Liriodendron tulipifera L.",
"751","Cercidiphyllum japonicum Sieb. et Zucc.",
"761","Ailanthus altissima",
"771","Cinnamomum camphora",
"781","Rhus typhina",
"800","ubriges Laubholz",
"902","Amelanchier ovalis Medik.",
"903","Berberis vulgaris L.",
"904","Buxus sempervirens L.",
"907","Cytisus Desf.",
"908","Cytis scoparius ssp. scoparius",
"909","Viburnum lantana L.",
"910","Viburnum opulus L.",
"911","Clematis vitalba L.",
"912","Cornus mas L.",
"913","Cornus sanguinea L.",
"914","Cotoneaster integerrimus Medik.",
"915","Cotoneaster tomentosus (Guss.) K. Koch",
"916","Crataegus laevigata (Poir) DC.",
"917","Crataegus monogyna Jacq.",
"918","Evonymus europaeus L.",
"919","Evonymus latifolius (L.) Mill.",
"920","Hedera helix L.",
"921","Hippophae rhamnoides L.",
"922","Juniperus communis ssp. alpina (Suter) Celak.",
"923","Juniperus sabina L.",
"924","Ligustrum vulgare L.",
"925","Lonicera alpigena L.",
"926","Lonicera caerulea L.",
"927","Lonicera nigra L.",
"928","Lonicera periclymenum L.",
"929","Lonicera xylosteum L.",
"930","Frangula alnus Mill.",
"931","Rhamnus alpina L.",
"932","Rhamnus cathartica L.",
"933","Rhamnus pumila Turra",
"934","Rhamnus saxatilis Jacq.",
"935","Rosa spec.",
"936","Buddleia sp.",
"937","Chamaerops humilis",
"938","Cotinus coggygria",
"939","Crateagus sp.",
"940","Ficus carica",
"942","Ribes sp.",
"943","Staphylea pinnata",
"999","nicht bestimmbar, tot",
